Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	Estimates Start After
Djibouti	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	929.131	934.386	886.101	909.389	895.477	864.577	855.79	851.679	870.939	871.161	880.352	884.072	905.262	934.845	967.29	"1,020.63"	"1,094.97"	"1,235.84"	"1,240.60"	"1,306.54"	"1,433.17"	"1,522.95"	"1,592.86"	"1,690.67"	"1,788.36"	2009
Dominica	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	"1,112.64"	"1,217.57"	"1,346.69"	"1,495.27"	"1,642.75"	"1,864.89"	"2,102.96"	"2,377.90"	"2,582.19"	"2,819.55"	"3,087.30"	"3,287.85"	"3,448.67"	"3,713.11"	"3,855.29"	"4,104.42"	"4,254.37"	"4,526.68"	"4,657.56"	"4,681.18"	"4,775.34"	"4,680.26"	"4,825.77"	"5,165.22"	"5,127.44"	"5,497.25"	"5,939.91"	"6,463.44"	"6,904.00"	"6,975.99"	"7,082.21"	"6,868.99"	"7,187.65"	"7,466.58"	"7,311.65"	2011
Dominican Republic	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,636.27"	"1,788.91"	"1,647.77"	"1,665.93"	"2,556.91"	"1,090.56"	"1,292.91"	"1,328.02"	"1,187.85"	"1,312.52"	"1,197.88"	"1,455.95"	"1,668.34"	"1,844.16"	"2,024.63"	"2,252.57"	"2,452.23"	"2,606.80"	"2,773.48"	"2,799.04"	"3,049.99"	"3,123.27"	"3,273.64"	"2,574.86"	"2,637.90"	"4,025.42"	"4,216.93"	"4,793.05"	"5,180.17"	"5,131.67"	"5,676.27"	"6,085.89"	"6,252.48"	"6,264.14"	"6,481.31"	"6,732.96"	2010
Ecuador	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"2,097.14"	"2,087.38"	"2,026.38"	"1,732.50"	"1,794.73"	"2,044.31"	"1,461.92"	"1,332.15"	"1,234.67"	"1,182.53"	"1,173.13"	"1,286.62"	"1,375.71"	"1,572.84"	"1,858.32"	"1,980.37"	"2,037.13"	"2,253.23"	"2,257.86"	"1,598.77"	"1,461.84"	"1,909.42"	"2,180.39"	"2,434.98"	"2,700.12"	"3,025.01"	"3,351.48"	"3,588.31"	"4,267.47"	"4,241.94"	"4,633.25"	"5,192.88"	"5,664.89"	"6,008.09"	"6,296.53"	"6,196.50"	2014
Egypt	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	580.042	617.659	711.351	846.388	925.97	"1,049.33"	"1,132.46"	"1,585.22"	"1,858.03"	"2,266.44"	"1,870.85"	923.843	825.448	906.804	978.537	"1,111.78"	"1,221.89"	"1,342.93"	"1,469.32"	"1,532.89"	"1,642.63"	"1,569.04"	"1,356.68"	"1,254.10"	"1,195.37"	"1,330.46"	"1,563.48"	"1,861.05"	"2,270.36"	"2,578.05"	"2,921.76"	"3,077.34"	"3,346.55"	"3,373.96"	"3,473.92"	"3,709.65"	2014
El Salvador	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	827.453	721.362	706.746	672.756	488.958	471.671	470.105	472.315	543.663	611.688	914.457	998.308	"1,104.77"	"1,270.70"	"1,462.13"	"1,699.55"	"1,828.99"	"1,956.89"	"2,092.06"	"2,156.52"	"2,260.60"	"2,365.19"	"2,437.26"	"2,550.29"	"2,664.13"	"2,872.91"	"3,107.32"	"3,356.41"	"3,571.83"	"3,432.06"	"3,546.08"	"3,818.32"	"3,923.16"	"3,999.46"	"4,102.64"	"4,219.36"	2007
Equatorial Guinea	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	158.69	138.97	155.039	161.015	165.138	260.289	305.064	358.814	374.547	319.239	393.045	376.147	441.772	431.315	309.038	420.77	667.542	"1,230.06"	998.499	"1,621.00"	"2,645.52"	"3,582.03"	"4,294.28"	"5,727.59"	"9,864.81"	"15,014.87"	"16,228.89"	"20,436.76"	"30,013.90"	"22,202.52"	"23,411.83"	"29,789.83"	"30,408.46"	"28,985.72"	"27,637.47"	"17,286.92"	2010
Eritrea	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	228.342	141.275	163.487	180.681	213.475	214.166	219.756	208.742	171.164	176.486	165.614	191.303	236.01	226.281	241.535	254.439	257.938	335.906	370.77	442.13	507.474	556.464	623.191	694.753	2006
Estonia	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"1,150.73"	"1,649.00"	"2,621.99"	"3,329.19"	"3,607.16"	"4,034.85"	"4,162.74"	"4,072.16"	"4,494.45"	"5,308.89"	"7,163.76"	"8,835.49"	"10,320.60"	"12,576.70"	"16,579.40"	"18,144.14"	"14,757.47"	"14,654.28"	"17,441.45"	"17,467.38"	"19,129.81"	"20,159.95"	"17,288.08"	2014
Ethiopia	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	215.178	215.599	220.557	237.661	217.423	246.507	247.981	256.699	257.56	262.233	269.082	287.651	293.35	176.465	151.965	152.658	155.121	152.171	134.226	128.213	129.678	125.722	116.789	120.873	138.553	165.218	198.344	249.209	334.145	397.808	360.829	379.381	503.989	548.048	628.335	686.593	2008
Fiji	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,941.88"	"1,947.63"	"1,833.92"	"1,682.16"	"1,727.28"	"1,647.50"	"1,845.55"	"1,678.21"	"1,579.60"	"1,669.91"	"1,835.04"	"1,882.41"	"2,057.58"	"2,166.08"	"2,383.91"	"2,540.57"	"2,714.29"	"2,641.17"	"2,068.69"	"2,408.23"	"2,076.01"	"2,038.86"	"2,259.18"	"2,836.03"	"3,332.72"	"3,658.52"	"3,749.91"	"4,079.27"	"4,178.30"	"3,369.85"	"3,651.92"	"4,351.93"	"4,550.28"	"4,765.69"	"5,112.19"	"4,926.40"	2014
Finland	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"10,079.41"	"8,982.72"	"8,778.57"	"8,718.66"	"8,551.22"	"8,899.44"	"12,488.09"	"15,800.11"	"18,167.62"	"19,009.06"	"23,775.45"	"22,009.10"	"22,368.04"	"20,222.52"	"21,534.00"	"25,642.98"	"25,769.65"	"24,437.46"	"26,053.40"	"26,242.77"	"24,347.47"	"24,967.82"	"26,958.55"	"32,921.38"	"37,748.13"	"39,106.58"	"41,240.45"	"48,463.31"	"53,785.14"	"47,337.94"	"46,391.71"	"50,960.18"	"47,553.40"	"49,766.13"	"50,061.04"	"42,413.64"	2014
France	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"13,111.79"	"11,497.09"	"10,860.90"	"10,330.87"	"9,733.75"	"10,149.98"	"14,006.56"	"16,871.83"	"18,326.78"	"18,328.02"	"22,600.46"	"22,524.41"	"24,725.74"	"23,212.10"	"24,398.14"	"27,898.30"	"27,870.57"	"25,167.00"	"25,951.70"	"25,680.90"	"23,317.94"	"23,342.09"	"25,226.21"	"30,808.71"	"35,153.79"	"36,209.52"	"37,900.03"	"43,155.50"	"47,273.32"	"43,234.25"	"42,249.06"	"45,430.28"	"42,333.09"	"44,104.92"	"44,444.84"	"37,653.28"	2015
Gabon	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"6,093.62"	"5,376.62"	"4,930.53"	"4,619.02"	"4,346.39"	"4,478.47"	"5,735.36"	"4,245.96"	"4,581.14"	"4,899.23"	"6,815.63"	"5,993.32"	"6,015.51"	"5,677.62"	"4,293.94"	"4,956.84"	"5,552.92"	"5,068.09"	"4,161.62"	"4,222.73"	"4,477.32"	"4,062.35"	"4,193.46"	"5,005.61"	"5,829.80"	"6,936.10"	"7,264.25"	"8,639.70"	"10,377.41"	"7,833.86"	"8,917.32"	"10,891.10"	"9,903.19"	"9,760.88"	"9,956.47"	"7,692.32"	0
The Gambia	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	611.169	550.379	502.126	485.58	335.268	391.705	293.679	378.182	421.689	425.594	479.592	486.113	503.706	509.664	487.784	494.428	501.039	496.565	495.833	494.668	468.359	451.6	387.815	357.707	396.295	415.098	423.373	502.005	590.286	535.536	550.688	505.761	498.609	479.248	427.447	450.859	2010
Georgia	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	167.794	397.848	655.332	770.192	800.675	627.58	689.35	731.21	776.793	924.35	"1,201.95"	"1,522.42"	"1,862.95"	"2,478.77"	"3,158.88"	"2,693.73"	"2,951.24"	"3,710.70"	"4,130.55"	"4,266.59"	"4,428.26"	"3,754.33"	2015
Germany	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"11,028.33"	"9,261.73"	"8,948.30"	"8,958.24"	"8,475.15"	"8,616.80"	"12,297.50"	"15,298.22"	"16,392.88"	"16,113.61"	"20,098.30"	"23,283.89"	"26,286.73"	"25,446.45"	"27,116.26"	"31,709.25"	"30,540.23"	"27,075.42"	"27,383.31"	"26,810.52"	"23,774.43"	"23,681.67"	"25,279.62"	"30,418.96"	"34,218.69"	"34,769.26"	"36,507.13"	"41,897.51"	"45,976.12"	"41,889.70"	"41,876.44"	"46,822.36"	"44,036.03"	"46,475.24"	"47,851.70"	"40,952.42"	2015
Ghana	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"2,495.68"	"4,018.13"	"4,543.85"	"3,299.58"	981.094	802.722	710.799	591.411	611.468	603.887	697.566	765.977	733.931	629.466	560.648	647.989	678.78	655.83	694.591	700.493	440.32	457.951	518.058	625.263	709.468	835.901	952.301	"1,126.86"	"1,266.11"	"1,107.39"	"1,357.64"	"1,627.90"	"1,682.58"	"1,870.16"	"1,472.99"	"1,401.73"	0
Greece	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"5,902.79"	"5,386.85"	"5,615.85"	"5,053.78"	"4,896.33"	"4,835.33"	"5,672.32"	"6,575.76"	"7,634.36"	"7,878.32"	"9,680.90"	"10,283.81"	"11,249.33"	"10,450.67"	"11,109.70"	"13,000.03"	"13,776.95"	"13,485.69"	"13,526.76"	"13,867.05"	"12,268.13"	"12,579.24"	"14,178.16"	"18,533.80"	"22,014.61"	"22,626.14"	"24,858.26"	"28,899.95"	"32,198.01"	"29,819.23"	"26,972.87"	"25,896.93"	"22,171.91"	"21,773.27"	"21,593.48"	"17,988.51"	2015
Grenada	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,246.02"	"1,276.86"	"1,347.45"	"1,373.23"	"1,478.40"	"1,678.85"	"1,873.16"	"2,163.49"	"2,410.26"	"2,759.63"	"2,888.26"	"3,118.12"	"3,190.92"	"3,151.64"	"3,270.64"	"3,413.09"	"3,640.14"	"3,878.28"	"4,401.73"	"4,751.62"	"5,117.54"	"5,109.98"	"5,292.23"	"5,773.30"	"5,836.12"	"6,754.38"	"6,766.49"	"7,324.12"	"7,947.14"	"7,394.95"	"7,365.67"	"7,410.83"	"7,583.55"	"7,956.14"	"8,575.35"	"9,221.75"	2011
Guatemala	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,055.25"	"1,124.20"	"1,110.37"	"1,123.95"	"1,146.72"	"1,319.91"	695.843	785.764	829.946	933.459	797.518	952.651	"1,031.16"	"1,094.99"	"1,212.30"	"1,330.46"	"1,388.73"	"1,537.41"	"1,631.92"	"1,503.63"	"1,530.34"	"1,625.49"	"1,761.78"	"1,812.72"	"1,933.15"	"2,140.94"	"2,320.30"	"2,554.52"	"2,859.65"	"2,690.09"	"2,875.31"	"3,233.80"	"3,335.91"	"3,478.20"	"3,700.31"	"3,921.87"	2010
Guinea	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	442.906	474.608	487.674	459.437	450.167	471.234	477.902	456.004	424.303	402.426	342.479	318.08	326.142	374.427	390.885	306.701	296.228	413.773	437.959	437.517	435.728	402.75	489.343	529.535	564.341	555.052	2011
Guinea-Bissau	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	206.197	258.282	287.724	317.877	216.511	311.574	297.952	247.594	226.165	266.465	317.957	440.538	461.635	352.935	394.044	408.35	381.172	362.807	313.541	340.664	291.57	301.609	313.557	350.825	382.377	413.51	407.79	469.305	572.344	533.864	534.412	681.254	599.643	604.451	639.404	594.424	2004
Guyana	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	739.531	711.499	587.896	634.647	632.507	645.046	711.736	891.358	836.085	"1,072.80"	905.709	"1,024.37"	838.224	"1,001.88"	"1,209.22"	"1,366.16"	"1,528.56"	"1,618.38"	"1,511.15"	"1,549.82"	"1,513.77"	"1,517.11"	"1,560.96"	"1,612.48"	"1,697.20"	"1,766.01"	"1,956.02"	"2,334.01"	"2,561.00"	"2,693.19"	"3,004.23"	"3,414.76"	"3,765.71"	"3,929.40"	"4,029.05"	"4,124.94"	2014
Haiti	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	260.453	281.633	287.754	303.4	330.237	360.211	393.132	190.252	123.631	112.003	139.691	123.002	72.415	81.256	231.269	359.759	364.991	411.606	450.945	494.256	462.491	413.718	393.004	329.766	387.951	465.33	505.495	615.81	674.858	668.272	662.013	740.848	766.807	810.172	831.352	813.447	0
Honduras	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	965.369	"1,027.84"	"1,026.64"	"1,055.26"	"1,104.03"	"1,174.23"	"1,192.96"	"1,262.82"	"1,365.69"	"1,482.57"	850.16	832.248	902.651	901.375	860.229	968.433	911.308	979.457	"1,063.53"	"1,049.43"	"1,137.83"	"1,187.49"	"1,196.35"	"1,228.48"	"1,298.94"	"1,405.78"	"1,547.26"	"1,720.77"	"1,899.55"	"1,962.07"	"2,096.20"	"2,315.74"	"2,386.74"	"2,348.76"	"2,442.90"	"2,530.49"	2001
Hong Kong SAR	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"5,664.01"	"5,953.18"	"6,096.01"	"5,551.00"	"6,127.28"	"6,444.91"	"7,328.42"	"8,980.83"	"10,453.71"	"11,928.48"	"13,280.62"	"15,190.41"	"17,586.42"	"19,925.12"	"22,037.71"	"22,908.97"	"24,698.98"	"27,215.15"	"25,652.39"	"24,974.28"	"25,578.30"	"25,170.41"	"24,729.58"	"23,854.32"	"24,875.45"	"26,553.93"	"28,030.90"	"30,496.83"	"31,488.09"	"30,593.78"	"32,421.07"	"34,940.89"	"36,588.54"	"38,170.38"	"40,078.32"	"42,294.67"	2015
Hungary	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"2,140.96"	"2,196.35"	"2,239.00"	"2,036.41"	"1,980.19"	"2,013.08"	"2,327.38"	"2,570.24"	"2,824.70"	"2,895.50"	"3,296.12"	"3,333.87"	"3,715.22"	"3,852.21"	"4,148.68"	"4,470.54"	"4,503.91"	"4,575.35"	"4,729.11"	"4,782.31"	"4,614.55"	"5,260.44"	"6,635.53"	"8,380.84"	"10,244.25"	"11,143.88"	"11,385.70"	"13,816.79"	"15,639.11"	"12,937.30"	"12,991.14"	"14,013.41"	"12,804.69"	"13,563.61"	"14,006.95"	"12,239.89"	2015
Iceland	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"15,030.93"	"15,324.83"	"13,884.20"	"11,775.54"	"12,070.97"	"12,501.60"	"16,536.77"	"22,598.47"	"24,537.97"	"22,598.45"	"25,577.21"	"26,923.81"	"27,260.73"	"23,657.07"	"24,111.12"	"26,768.82"	"27,859.69"	"27,888.15"	"30,714.50"	"31,994.93"	"31,495.49"	"28,350.61"	"31,759.76"	"38,878.42"	"46,699.57"	"55,851.61"	"55,387.91"	"67,501.09"	"54,891.72"	"40,472.47"	"41,566.37"	"45,890.18"	"44,144.42"	"47,477.42"	"52,139.87"	"50,276.73"	2015
India	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	276.275	280.789	284.443	303.761	288.563	311.401	324.248	356.246	368.341	361.454	385.407	318.012	332.544	315.42	362.366	391.249	418.602	434.737	432.225	462.133	463.118	471.311	492.234	572.299	657.522	748.85	839.927	"1,080.89"	"1,053.44"	"1,159.06"	"1,429.60"	"1,497.40"	"1,471.43"	"1,479.50"	"1,600.85"	"1,603.61"	2013
Indonesia	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	673.239	736.992	741.946	659.474	672.201	658.217	610.234	562.902	621.934	696.874	770.757	847.573	907.767	"1,013.06"	"1,115.61"	"1,254.02"	"1,394.50"	"1,308.11"	572.09	829.574	870.154	834.139	"1,002.91"	"1,186.85"	"1,280.70"	"1,403.88"	"1,764.79"	"2,064.23"	"2,418.04"	"2,464.96"	"3,178.13"	"3,688.53"	"3,744.53"	"3,675.58"	"3,531.80"	"3,362.36"	2015
Islamic Republic of Iran	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"2,549.52"	"2,548.33"	"3,081.26"	"3,678.40"	"3,664.22"	"3,954.59"	"4,431.51"	"5,727.15"	"6,310.93"	"7,397.97"	"10,878.15"	"5,507.09"	826.593	"1,085.65"	"1,342.83"	"1,831.38"	"2,566.42"	"2,958.01"	"3,257.52"	"4,308.41"	"5,603.88"	"5,038.04"	"1,957.56"	"2,254.22"	"2,652.47"	"3,144.65"	"3,657.65"	"4,737.15"	"5,412.45"	"5,394.04"	"6,226.91"	"7,557.77"	"4,998.63"	"4,899.29"	"5,287.29"	"4,907.62"	2012
Iraq	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	608.655	"1,373.74"	"1,828.74"	"2,321.26"	"3,090.85"	"4,472.12"	"3,701.86"	"4,473.71"	"5,848.54"	"6,692.58"	"7,021.41"	"6,492.36"	"4,696.48"	2013
Ireland	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"6,291.28"	"5,906.70"	"6,110.93"	"5,857.43"	"5,619.50"	"5,937.30"	"8,012.47"	"9,479.30"	"10,424.87"	"10,827.09"	"13,707.01"	"13,803.48"	"15,415.35"	"14,206.35"	"15,545.86"	"19,219.67"	"20,921.96"	"22,604.28"	"24,336.31"	"26,400.76"	"26,355.90"	"28,368.07"	"32,678.18"	"41,285.21"	"47,941.70"	"51,211.68"	"54,847.99"	"61,709.53"	"61,298.27"	"52,003.20"	"48,595.57"	"52,589.23"	"49,247.54"	"52,093.53"	"55,595.26"	"61,206.35"	2015
Israel	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"6,076.92"	"6,393.11"	"6,730.90"	"7,350.56"	"6,870.04"	"6,273.73"	"7,605.23"	"8,937.87"	"10,890.48"	"10,893.15"	"12,462.31"	"13,311.60"	"14,360.47"	"14,061.36"	"15,647.72"	"18,095.36"	"19,351.02"	"19,698.34"	"19,431.35"	"19,157.72"	"21,051.67"	"20,296.96"	"18,416.85"	"18,944.46"	"19,888.73"	"20,566.61"	"21,821.41"	"24,907.71"	"29,552.87"	"27,708.89"	"30,673.39"	"33,668.77"	"32,582.94"	"36,409.71"	"37,599.21"	"35,743.46"	2015
Italy	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"8,576.08"	"7,764.52"	"7,668.02"	"7,951.11"	"7,854.76"	"8,110.89"	"11,485.19"	"14,415.46"	"15,966.45"	"16,591.14"	"20,691.00"	"21,844.14"	"23,159.17"	"18,609.97"	"19,186.32"	"20,609.06"	"23,033.40"	"21,811.82"	"22,283.57"	"21,968.42"	"20,116.62"	"20,423.14"	"22,303.02"	"27,527.38"	"31,319.73"	"32,066.38"	"33,486.01"	"37,890.20"	"40,953.86"	"37,130.15"	"35,969.19"	"38,379.31"	"34,918.76"	"35,703.92"	"35,239.28"	"29,866.62"	2015
Jamaica	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,214.38"	"1,310.50"	"1,479.51"	"1,289.23"	948	878.359	"1,034.77"	"1,158.60"	"1,372.73"	"1,588.56"	"1,971.70"	"1,799.77"	"1,804.41"	"2,280.66"	"2,266.08"	"2,657.67"	"2,975.14"	"3,347.37"	"3,467.54"	"3,473.44"	"3,510.58"	"3,529.72"	"3,700.06"	"3,562.46"	"3,816.38"	"4,186.20"	"4,430.51"	"4,756.27"	"5,054.54"	"4,435.33"	"4,812.07"	"5,230.73"	"5,330.88"	"5,101.92"	"4,953.12"	"5,052.68"	2015
Japan	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"9,308.86"	"10,216.81"	"9,432.96"	"10,213.48"	"10,784.29"	"11,463.71"	"16,893.46"	"20,371.22"	"24,610.13"	"24,527.91"	"25,149.27"	"28,576.26"	"30,981.72"	"35,389.31"	"38,771.00"	"42,536.17"	"37,438.88"	"34,324.33"	"30,997.21"	"34,893.19"	"37,301.41"	"32,729.95"	"31,247.15"	"33,726.03"	"36,453.80"	"35,791.33"	"34,105.46"	"34,098.58"	"37,975.54"	"39,475.64"	"43,095.33"	"46,225.06"	"46,704.56"	"38,551.51"	"36,151.18"	"32,478.90"	2015
Jordan	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,713.42"	"1,855.03"	"1,901.69"	"1,916.14"	"1,857.60"	"1,797.12"	"2,220.51"	"2,263.61"	"2,048.89"	"1,324.97"	"1,238.84"	"1,227.88"	"1,434.10"	"1,397.86"	"1,491.61"	"1,539.24"	"1,557.59"	"1,594.25"	"1,712.13"	"1,737.03"	"1,774.64"	"1,850.47"	"1,940.19"	"2,021.93"	"2,206.54"	"2,360.54"	"2,722.67"	"2,970.90"	"3,654.31"	"3,800.95"	"4,054.27"	"4,266.07"	"4,429.37"	"4,662.80"	"4,837.80"	"4,947.02"	2015
Kazakhstan	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	168.645	304.849	737.242	"1,058.58"	"1,349.60"	"1,457.03"	"1,445.90"	"1,132.12"	"1,230.49"	"1,491.65"	"1,657.15"	"2,062.29"	"2,862.50"	"3,753.44"	"5,261.80"	"6,736.00"	"8,457.33"	"7,118.57"	"9,008.71"	"12,017.47"	"12,766.30"	"14,201.88"	"13,054.68"	"10,426.09"	2015
Kenya	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	641.654	582.63	541.284	484.062	485.688	467.396	536.791	569.04	570.524	546.95	552.681	506.802	484.699	326.994	380.183	468.002	516.168	507.78	564.736	500.113	479.303	479.603	473.995	524.743	549.163	621.283	743.439	895.226	978.454	982.003	"1,038.95"	"1,062.11"	"1,238.58"	"1,318.20"	"1,427.80"	"1,434.36"	2013
Kiribati	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	652.559	684.168	682.359	614.6	651.411	503.818	495.205	"1,018.08"	635.565	594.382	555.429	645.767	646.935	623.303	716.426	721.087	847.072	839.089	805.035	832.626	802.564	732.9	824.865	"1,016.43"	"1,128.37"	"1,212.13"	"1,148.56"	"1,356.40"	"1,437.11"	"1,312.41"	"1,490.90"	"1,686.39"	"1,754.46"	"1,716.56"	"1,670.38"	"1,409.78"	2013
Korea	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,710.79"	"1,870.34"	"1,977.50"	"2,180.55"	"2,390.65"	"2,457.69"	"2,803.37"	"3,510.95"	"4,686.32"	"5,736.47"	"6,513.16"	"7,522.98"	"8,002.15"	"8,740.71"	"10,206.75"	"12,340.03"	"13,137.11"	"12,132.83"	"8,083.13"	"10,409.51"	"11,946.77"	"11,258.82"	"12,788.52"	"14,220.45"	"15,922.18"	"18,657.52"	"20,922.13"	"23,101.51"	"20,474.89"	"18,338.71"	"22,151.21"	"24,155.83"	"24,453.97"	"25,997.88"	"27,989.35"	"27,221.52"	2015
Kosovo	"Gross domestic product per capita, current prices"	U.S. dollars	Units																																						
Kuwait	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"20,966.18"	"17,631.85"	"14,417.54"	"12,973.99"	"13,410.42"	"12,670.69"	"9,653.47"	"10,956.48"	"9,640.41"	"11,359.51"	"8,588.15"	"7,960.51"	"13,989.93"	"16,435.59"	"16,530.73"	"17,251.97"	"18,524.94"	"13,740.68"	"11,424.92"	"13,358.13"	"17,012.78"	"15,108.11"	"15,759.07"	"18,786.75"	"21,585.56"	"27,014.77"	"31,907.20"	"33,732.52"	"42,827.13"	"30,414.74"	"32,216.41"	"41,831.40"	"45,993.65"	"44,775.38"	"40,688.82"	"27,756.41"	2014
